symbol,timeframe,expected_spacing_s,n_rows,first_time,last_time,n_gap_events,missing_bars_total,max_gap_bars,max_gap_seconds,completeness_ratio,chart_path,gaps_csv_path
Boom 1000 Index,5,300,5317,1771929000,1773523800,0,0,0,0,1.0,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_1000_Index_tf5.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_1000_Index_tf5_gaps.csv
Boom 1000 Index,15,900,3105,1770729300,1773522900,0,0,0,0,1.0,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_1000_Index_tf15.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_1000_Index_tf15_gaps.csv
Boom 1000 Index,16385,3600,2274,1765335600,1773518400,0,0,0,0,1.0,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_1000_Index_tf16385.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_1000_Index_tf16385_gaps.csv
Boom 1000 Index,16388,14400,2068,1743696000,1773504000,1,3,3,57600,0.9985514244326412,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_1000_Index_tf16388.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_1000_Index_tf16388_gaps.csv
Boom 900 Index,5,300,4351,1772218800,1773523800,0,0,0,0,1.0,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_900_Index_tf5.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_900_Index_tf5_gaps.csv
Boom 900 Index,15,900,2783,1771019100,1773522900,0,0,0,0,1.0,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_900_Index_tf15.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_900_Index_tf15_gaps.csv
Boom 900 Index,16385,3600,2195,1765620000,1773518400,0,0,0,0,1.0,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_900_Index_tf16385.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_900_Index_tf16385_gaps.csv
Boom 900 Index,16388,14400,2048,1744027200,1773504000,0,0,0,0,1.0,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_900_Index_tf16388.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_900_Index_tf16388_gaps.csv
Boom 500 Index,5,300,4354,1772217900,1773523800,0,0,0,0,1.0,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_500_Index_tf5.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_500_Index_tf5_gaps.csv
Boom 500 Index,15,900,2784,1771018200,1773522900,0,0,0,0,1.0,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\charts\Boom_500_Index_tf15.png,C:\Users\graeh\Documents\trading_bot_refactor_with_gui\trading_bot_refactor\backtests\data_quality\gap_details\Boom_500_Index_tf15_gaps.csv
