time,equity,cash,pos_side,pos_qty,pos_entry,pos_sl,pos_tp
1772277900,10000.0,10000.0,,0.0,,,
1772278200,10000.0,10000.0,,0.0,,,
1772278500,10000.0,10000.0,,0.0,,,
1772278800,10000.0,10000.0,,0.0,,,
1772279100,10000.0,10000.0,,0.0,,,
1772279400,10000.0,10000.0,,0.0,,,
1772279700,10000.0,10000.0,,0.0,,,
1772280000,10000.0,10000.0,,0.0,,,
1772280300,10000.0,10000.0,,0.0,,,
1772280600,9998.109,10000.0,BUY,0.5,2211.636,2201.636,2229.636
1772280900,9995.177,10000.0,BUY,0.5,2211.636,2201.636,2229.636
1772281200,9995.0,9995.0,,0.0,,,
1772281500,9995.0,9995.0,,0.0,,,
1772281800,9995.0,9995.0,,0.0,,,
1772282100,9995.0,9995.0,,0.0,,,
1772282400,9995.0,9995.0,,0.0,,,
1772282700,9995.0,9995.0,,0.0,,,
1772283000,9995.0,9995.0,,0.0,,,
1772283300,9995.0,9995.0,,0.0,,,
1772283600,9995.0,9995.0,,0.0,,,
1772283900,10001.251,9995.0,BUY,0.5,2192.332,2182.332,2210.332
1772284200,9998.3555,9995.0,BUY,0.5,2192.332,2182.332,2210.332
1772284500,9995.485,9995.0,BUY,0.5,2192.332,2182.332,2210.332
1772284800,9992.6275,9995.0,BUY,0.5,2192.332,2182.332,2210.332
1772285100,9990.0,9990.0,,0.0,,,
1772285400,9990.0,9990.0,,0.0,,,
1772285700,9990.0,9990.0,,0.0,,,
1772286000,9994.6605,9990.0,BUY,0.5,2186.79,2176.79,2204.79
1772286300,9994.6995,9990.0,BUY,0.5,2186.79,2176.79,2204.79
1772286600,9993.6755,9990.0,BUY,0.5,2186.79,2176.79,2204.79
1772286900,9991.883,9990.0,BUY,0.5,2186.79,2176.79,2204.79
1772287200,9990.605,9990.0,BUY,0.5,2186.79,2176.79,2204.79
1772287500,9991.0735,9990.0,BUY,0.5,2186.79,2176.79,2204.79
1772287800,9988.1875,9990.0,BUY,0.5,2186.79,2176.79,2204.79
1772288100,9985.391,9990.0,BUY,0.5,2186.79,2176.79,2204.79
1772288400,9985.0,9985.0,,0.0,,,
1772288700,9985.0,9985.0,,0.0,,,
1772289000,9985.0,9985.0,,0.0,,,
1772289300,9987.3315,9985.0,BUY,0.5,2181.349,2171.349,2199.349
1772289600,9989.4955,9985.0,BUY,0.5,2181.349,2171.349,2199.349
1772289900,9994.0,9994.0,,0.0,,,
1772290200,9994.0,9994.0,,0.0,,,
1772290500,9994.0,9994.0,,0.0,,,
1772290800,9994.0,9994.0,,0.0,,,
1772291100,9994.0,9994.0,,0.0,,,
1772291400,9994.0,9994.0,,0.0,,,
1772291700,9994.0,9994.0,,0.0,,,
1772292000,9994.0,9994.0,,0.0,,,
1772292300,9994.0,9994.0,,0.0,,,
1772292600,9994.0,9994.0,,0.0,,,
1772292900,9994.0,9994.0,,0.0,,,
1772293200,9994.0,9994.0,,0.0,,,
1772293500,9994.0,9994.0,,0.0,,,
1772293800,9994.0,9994.0,,0.0,,,
1772294100,9994.0,9994.0,,0.0,,,
1772294400,9994.0,9994.0,,0.0,,,
1772294700,9994.0,9994.0,,0.0,,,
1772295000,9994.0,9994.0,,0.0,,,
