time_s,symbol,side,qty,price,reason
1772283600,Boom 500 Index,BUY,0.2,5579.418,signal
1772284500,Boom 500 Index,CLOSE,0.2,5584.444,stop
1772284800,Boom 500 Index,BUY,0.2,5588.216,signal
1772285100,Boom 500 Index,CLOSE,0.2,5594.075,stop
1772285400,Boom 500 Index,BUY,0.2,5596.489,signal
1772287800,Boom 500 Index,CLOSE,0.2,5586.489,stop
1772292000,Boom 500 Index,BUY,0.2,5577.525,signal
1772292600,Boom 500 Index,CLOSE,0.2,5579.865,stop
1772293500,Boom 500 Index,BUY,0.2,5585.591,signal
1772294400,Boom 500 Index,CLOSE,0.2,5586.282,stop
1772308200,Boom 500 Index,BUY,0.2,5610.384,signal
1772309100,Boom 500 Index,CLOSE,0.2,5600.384,stop
1772312700,Boom 500 Index,SELL,0.2,5607.6,signal
1772314500,Boom 500 Index,CLOSE,0.2,5589.6,takeprofit
1772315400,Boom 500 Index,SELL,0.2,5589.369,signal
1772317200,Boom 500 Index,CLOSE,0.2,5588.98,stop
1772332800,Boom 500 Index,SELL,0.2,5551.347,signal
1772334300,Boom 500 Index,CLOSE,0.2,5533.347,takeprofit
1772338800,Boom 500 Index,SELL,0.2,5525.236,signal
1772339100,Boom 500 Index,CLOSE,0.2,5535.236,stop
1772342400,Boom 500 Index,SELL,0.2,5527.967,signal
1772342400,Boom 500 Index,CLOSE,0.2,5537.967,stop
1772346000,Boom 500 Index,SELL,0.2,5555.413,signal
1772346000,Boom 500 Index,CLOSE,0.2,5565.413,stop
1772346900,Boom 500 Index,SELL,0.2,5564.001,signal
1772349600,Boom 500 Index,CLOSE,0.2,5546.001,takeprofit
1772350200,Boom 500 Index,SELL,0.2,5542.359,signal
1772351100,Boom 500 Index,CLOSE,0.2,5552.359,stop
1772351700,Boom 500 Index,SELL,0.2,5551.799,signal
1772352900,Boom 500 Index,CLOSE,0.2,5561.799,stop
1772360100,Boom 500 Index,BUY,0.2,5578.417,signal
1772361000,Boom 500 Index,CLOSE,0.2,5568.417,stop
1772369400,Boom 500 Index,SELL,0.2,5573.508,signal
1772370300,Boom 500 Index,CLOSE,0.2,5572.26,stop
1772371200,Boom 500 Index,SELL,0.2,5565.662,signal
1772371500,Boom 500 Index,CLOSE,0.2,5565.105,stop
1772373000,Boom 500 Index,SELL,0.2,5572.904,signal
1772373600,Boom 500 Index,CLOSE,0.2,5570.144,stop
1772374800,Boom 500 Index,SELL,0.2,5562.842,signal
1772375700,Boom 500 Index,CLOSE,0.2,5562.727,stop
1772376300,Boom 500 Index,SELL,0.2,5570.201,signal
1772377800,Boom 500 Index,CLOSE,0.2,5552.201,takeprofit
