time_s,symbol,side,qty,price,reason
1772279100,Boom 900 Index,BUY,0.2,9080.369,signal
1772280600,Boom 900 Index,CLOSE,0.2,9064.369,stop
1772282700,Boom 900 Index,BUY,0.2,9069.983,signal
1772285400,Boom 900 Index,CLOSE,0.2,9053.983,stop
1772290800,Boom 900 Index,BUY,0.2,9038.999,signal
1772293500,Boom 900 Index,CLOSE,0.2,9022.999,stop
1772295300,Boom 900 Index,BUY,0.2,9039.229,signal
1772300100,Boom 900 Index,CLOSE,0.2,9065.229,takeprofit
1772309700,Boom 900 Index,BUY,0.2,9034.962,signal
1772311200,Boom 900 Index,CLOSE,0.2,9018.962,stop
1772311800,Boom 900 Index,BUY,0.2,9036.653,signal
1772320200,Boom 900 Index,CLOSE,0.2,9062.653,takeprofit
1772320500,Boom 900 Index,BUY,0.2,9072.104,signal
1772323500,Boom 900 Index,CLOSE,0.2,9098.104,takeprofit
1772336700,Boom 900 Index,BUY,0.2,9110.873,signal
1772339700,Boom 900 Index,CLOSE,0.2,9136.863000000001,takeprofit
1772345100,Boom 900 Index,BUY,0.2,9115.988,signal
1772351700,Boom 900 Index,CLOSE,0.2,9099.978000000001,stop
1772354700,Boom 900 Index,BUY,0.2,9086.351,signal
1772355900,Boom 900 Index,CLOSE,0.2,9070.351,stop
1772356800,Boom 900 Index,BUY,0.2,9078.327,signal
1772359200,Boom 900 Index,CLOSE,0.2,9062.327,stop
1772363100,Boom 900 Index,BUY,0.2,9041.381,signal
1772364600,Boom 900 Index,CLOSE,0.2,9025.381,stop
1772365200,Boom 900 Index,BUY,0.2,9036.191,signal
1772367900,Boom 900 Index,CLOSE,0.2,9020.191,stop
1772369100,Boom 900 Index,BUY,0.2,9027.392,signal
1772372700,Boom 900 Index,CLOSE,0.2,9053.392,takeprofit
1772387100,Boom 900 Index,BUY,0.2,9057.59,signal
1772387100,Boom 900 Index,CLOSE,0.2,9083.59,takeprofit
1772411100,Boom 900 Index,BUY,0.2,9104.693,signal
1772413500,Boom 900 Index,CLOSE,0.2,9088.688,stop
1772415600,Boom 900 Index,BUY,0.2,9082.063,signal
1772418900,Boom 900 Index,CLOSE,0.2,9108.063,takeprofit
1772419200,Boom 900 Index,BUY,0.2,9107.401,signal
1772432100,Boom 900 Index,CLOSE,0.2,9091.396,stop
1772434800,Boom 900 Index,BUY,0.2,9089.124,signal
1772444400,Boom 900 Index,CLOSE,0.2,9073.124,stop
1772448600,Boom 900 Index,BUY,0.2,9058.789,signal
1772454600,Boom 900 Index,CLOSE,0.2,9084.789,takeprofit
1772462400,Boom 900 Index,SELL,0.2,9061.965,signal
1772464800,Boom 900 Index,CLOSE,0.2,9035.965,takeprofit
1772469000,Boom 900 Index,BUY,0.2,9009.071,signal
1772469300,Boom 900 Index,CLOSE,0.2,9035.076,takeprofit
1772473500,Boom 900 Index,BUY,0.2,9012.803,signal
1772480100,Boom 900 Index,CLOSE,0.2,9038.803,takeprofit
1772482200,Boom 900 Index,BUY,0.2,9053.35,signal
1772486700,Boom 900 Index,CLOSE,0.2,9037.35,stop
